Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,Ship 6 arrival time,Ship 6 teu,Ship 6 waiting cost,U,V 0,V 1,y 0,y 1
1,1,0.31,1445,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.0
6,1,0.79,2584,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.869999999999999,0.0
3,4,1.36,1798,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.286666666666666
4,3,1.54,2332,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.8574999999999995
5,2,1.67,2548,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.2558333333333329,0.0
1,6,1.8,1850,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.054166666666667,0.0
3,4,2.08,1921,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.137777777777778
4,3,2.14,1571,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5788888888888906,0.0
2,5,2.25,2961,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.9814444444444455,0.0
2,5,2.35,1909,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.7163888888888863
4,3,2.68,1518,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.7128333333333314
4,3,3.08,1014,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.8762222222222249,0.0
3,4,3.45,1519,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.18044444444443997
6,1,3.69,1030,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.1009444444444423
4,3,3.94,2091,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.086518518518524,0.0
3,4,4.15,2674,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.5568148148148069
5,2,4.27,2046,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.7304074074074016
5,2,4.61,2392,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.4339814814814975,0.0
3,4,4.74,1999,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.7608148148148075
5,2,4.9,2030,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.2064074074074007
5,2,5.0,1694,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.2139814814814986,0.0
3,4,5.32,2848,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.302814814814802
6,1,5.44,2697,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.7348703703703663
4,3,5.85,2447,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5.942395061728405,0.0
4,3,6.27,2244,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.6432037037036942
5,2,6.74,2429,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.25680246913579907
6,1,7.33,1933,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.34946913580246175
5,2,7.82,1789,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5.264660493827176,0.0
4,3,7.99,2128,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.04439506172840879,0.0
1,6,8.12,1293,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.2952654320987698,0.0
3,4,8.67,2747,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.5985349794238601
5,2,9.35,2778,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.35933127572016943,0.0
1,6,9.43,2462,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.6828662551440345,0.0
3,4,9.66,1833,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.792844993141287
4,3,9.84,2988,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.5121337448559764
5,2,10.1,1665,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.552165637860071,0.0
3,4,10.41,2852,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.4167993827160466,0.0
2,5,10.68,2007,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.2292515432098874
6,1,10.93,2323,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,4.1011836419753145
4,3,10.98,2020,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.2295329218106872,0.0
2,5,11.25,2825,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.3507664609053478,0.0
2,5,11.55,1388,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.5130838477366346
4,3,11.75,2235,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.696350308641982
4,3,12.01,2749,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.398199588477368,0.0
3,4,12.37,2888,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.7784670781893226
5,2,12.54,2406,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.346233539094655
5,2,12.79,2578,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.644416152263375,0.0
3,4,12.93,2533,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.3824670781893076
5,2,13.15,1817,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.2642335390946613
4,3,13.35,1112,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3.512355281207107,0.0
1,1,0.1,1625,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.0
6,1,0.36,2544,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.99,0.0
3,4,0.64,1039,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.8199999999999994
4,3,0.85,2244,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.0699999999999987
5,2,1.1,1734,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.6550000000000034,0.0
2,5,1.3,2103,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.6260000000000012,0.0
3,4,1.4,2474,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.174666666666665
4,3,1.54,2244,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5153333333333343,0.0
2,5,1.79,1469,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.9606666666666683,0.0
3,4,2.37,2682,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.0271111111111075
4,3,2.77,2779,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.5428888888888928,0.0
2,5,2.92,2015,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.2504444444444474,0.0
2,5,3.27,2469,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.073888888888881
5,2,3.69,1019,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,0.893555555555551
4,3,4.09,2066,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.2992592592592587,0.0
3,4,4.26,2106,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.294074074074068
5,2,4.55,2183,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.0410370370370359
5,2,4.65,1978,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.947407407407411,0.0
3,4,4.84,1937,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.1354074074073992
6,1,5.05,2432,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.450518518518516
4,3,5.17,1297,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3.598197530864198,0.0
4,3,5.37,1311,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.0013518518518527145
6,1,5.61,2836,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.3454506172839498
5,2,5.83,2793,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.6838734567901277,0.0
3,4,6.17,1245,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.2093240740740825,0.0
2,5,6.5,2549,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.6283240740740794,0.0
2,5,6.78,2895,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.7391898148148073
4,3,6.96,1294,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.20664814814816168,0.0
2,5,7.17,2744,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.038324074074083,0.0
3,4,7.38,2966,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.722234567901225
4,3,7.59,2640,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5510987654321156,0.0
2,5,7.82,1003,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.1655493827160512,0.0
3,4,7.96,2272,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.0026008230452703
4,3,8.22,1400,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.0307325102880753,0.0
3,4,8.39,1078,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5155493827160562,0.0
2,5,8.71,2421,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.34554938271605096,0.0
2,5,8.81,1589,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0,4.176126543209868
3,4,8.9,1897,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.048324074074066914,0.0
1,6,9.11,1511,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.5644413580246876,0.0
3,4,9.22,2244,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.8196337448559774
4,3,9.35,2953,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.8103662551440323,0.0
2,5,9.78,2230,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.2851831275720116,0.0
1,6,9.96,2576,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.7401831275720134,0.0
2,5,10.19,1471,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0,5.45704218106998
3,4,10.49,1700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.3596337448559837
4,3,10.72,1498,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.39036625514403056,0.0
2,5,11.08,1433,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.7171831275720137,0.0
2,5,11.26,2208,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,1.1970421810699605
5,2,11.51,2942,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.0,0.43281687242797773
5,2,11.61,2104,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5.047957818930051,0.0
1,1,0.17,1659,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.0
6,1,0.34,1838,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4.48,0.0
4,3,0.67,2752,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.7450000000000003
4,3,0.84,1809,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.403333333333334,0.0
3,4,1.07,1841,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.157500000000001,0.0
3,4,1.32,1857,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.296666666666665
4,3,1.73,2775,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.29333333333333655,0.0
1,6,1.93,1447,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2.0125,0.0
3,4,2.12,2337,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.8955555555555534
4,3,2.31,1036,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.9711111111111137,0.0
3,4,2.67,2585,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.32583333333333364,0.0
1,6,2.72,1249,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5075000000000012,0.0
2,5,2.85,1997,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,3.5770833333333307
4,3,3.61,1201,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.06624999999999837
6,1,3.65,1794,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,1.3387499999999992
4,3,3.99,1045,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3.0661111111111126,0.0
4,3,4.25,2584,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.15944444444444628,0.0
1,6,4.47,1130,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.4427777777777777,0.0
3,4,4.59,1968,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0,2.8174074074074085
