Name,Arrival Time,TEU,Waiting Cost
USS Haynes ,0.12118672468507605,1253,3086
Glencairn ,0.3269781067432012,1001,3397
USS Poseidon ,0.5220620506033862,1304,3733
USS Haynes ,0.7318652998280232,2077,3430
Academic Vladislav Volkov ,1.1492460619137472,1302,3252
USS Charleston  ,1.2931174201544413,1560,3577
Angelina  ,1.7369897339135065,1217,3597
Black Hawk ,1.9544269908903202,2533,3302
Reaper  ,2.167965437334695,1327,3806
USS Reluctant ,2.450360350505721,2528,3535
USS Copperfin ,2.659200610058465,2822,3792
HMS Shag at Sea  ,2.8099655349652317,2958,2881
HMS Bedford ,3.318519817860348,2190,3890
SS Happy Wanderer ,3.7916657738218897,2158,3242
SS Sea Witch ,4.233271676472648,1370,3587
HMS Torrin ,4.369164782383314,2454,3204
USS Valhalla ,4.504364740272442,2891,3632
USS Intrepid ,4.7993220100774465,1357,3717
Rob Roy ,5.155947684429065,2120,3358
The Henrietta  ,5.227381981830575,1382,3720
The Flying Wasp ,6.019286467006666,2812,3987
Hai Peng ,6.1295644562243705,2081,3613
Batavia Queen ,6.4705082278389146,1406,3696
HMS Lydia ,6.77351358144804,1380,3394
Saracen ,6.977955535427022,1606,3448
Turtle  ,7.257589710673377,1300,3815
Hai Peng ,7.3719928791847416,2805,3222
Arabella ,7.535832059719791,1941,3518
Dulcibella ,7.59420287188218,1756,3352
Acheron ,8.123557817093246,1611,3835
Mary Deare ,8.354482473905191,2514,3328
Love Nest ,8.521105735771952,2403,3761
Red Witch ,8.63841736245961,1685,2980
HMS Bedford ,9.032132869812333,2375,3383
Arabella ,9.50572533911081,2373,3990
Aeolus ,9.652717817142486,2042,3943
Black Hawk ,9.796111808700614,1690,3645
Aquanaut 3  ,9.987221313629727,1443,3682
SS Venture ,10.310531593559638,1559,3483
HMS Venus ,11.044256808947635,1046,4022
USS Charleston  ,11.227653959332313,2598,3728
Caledonia II  ,11.344022977556364,1098,3248
Empress ,11.813858664140673,2763,3508
USS Tigerfish ,11.995578860706853,2229,3542
Argo ,12.081671185292576,1952,3344
Morning Star ,12.249428618044966,2921,3213
Benthic Explorer ,12.378337232319739,1327,3932
Dulcibella ,12.641959059934733,2790,3304
Q Boat ,12.911411745195666,2854,3851
Benthic Explorer ,13.33838704397217,2852,3495
