Name,Arrival Time,TEU,Waiting Cost
Patna ,0.286431173850599,1893,3600
SS Minnow Johnson  ,0.6844895959031954,1480,3600
SS Chiku Shan ,0.9928642406333097,2525,3600
Albatross ,1.193209692799371,2384,3600
HMS Bedford ,1.57469269521542,2777,3600
USS Scotia  ,1.7747239052610222,2632,3600
USS San Pablo ,1.999408544285446,1870,3600
Mary Deare ,2.195119423652736,2963,3600
Hahnchen Maru ,2.4773579113594653,1683,3600
HMS Victoria ,2.6375503543411782,2608,3600
Albatross ,2.709953901087765,1846,3600
SS Goliath ,2.918095839984644,2665,3600
USS Charleston  ,3.145450047038486,2290,3600
Gloria N ,3.382720023865176,2986,3600
Brandenburg ,3.6269144695673123,1572,3600
USS Thunderfish ,3.790650201392188,1122,3600
African Queen ,4.2384565696558205,1969,3600
USS Tiger Shark ,4.4093908635963865,2253,3600
SS Chiku Shan ,4.593255967047858,1554,3600
Starfish  ,5.07287216321045,2609,3600
HMS Sea Tiger ,5.179292447444751,1575,3600
SS Princess Irene,5.416219720075906,1642,3600
St. Georges ,5.585491075988477,2220,3600
Batavia Queen ,5.774026600865339,2864,3600
SS Essess  ,6.0717224450340845,2401,3600
USS Copperfin ,6.328447528512826,2035,3600
SS Venture ,6.6341869425900235,1003,3600
MS Ergenstrasse ,6.779914500190824,2242,3600
USS Aspen ,6.964117497156331,1558,3600
HMS Chester ,7.126074808489338,1449,3600
HMS Devonshire ,7.2530590443910885,1144,3600
SS Claridon ,7.388050678305164,1107,3600
Saracen ,7.80689742412364,1938,3600
HMS Viperess ,8.18511086979506,2425,3600
Gloria N ,8.480101224376089,2357,3600
USS Abraham Lincoln ,8.675665956112063,1958,3600
Ghost ,8.820903750805169,1330,3600
USS Pequod  ,9.107067398889052,1788,3600
USS Abraham Lincoln ,9.405188220662517,2518,3600
HMS Sutherland ,9.571275930454448,2855,3600
MS Ergenstrasse ,10.009496398096381,2429,3600
USS Echo ,10.125451844167083,1311,3600
USS Abraham Lincoln ,10.447529695255271,2493,3600
IJN Shinaru ,10.715818237078285,1426,3600
USS Scotia  ,10.91362765122128,2311,3600
Turtle  ,11.157573747439324,1401,3600
Argo ,11.363523517332533,2202,3600
Love Nest ,11.43687735839349,2527,3600
SS Princess Irene,11.67559103759573,2624,3600
Elizabeth Dane ,11.910853772501143,1443,3600
