Name,Arrival Time,TEU,Waiting Cost
USS Montana ,0.25,1295,3692
USS Dragonfish ,0.39,1116,3873
USS Caine ,0.73,1937,3817
The Inferno ,1.06,2290,3473
HMS Avenger ,1.2,2209,3776
USS San Pablo ,1.31,1046,3643
SS Minnow Johnson  ,1.4,2027,3484
Angelina  ,1.58,2459,3301
HMS Lydia ,2.02,2961,3323
U-571  ,2.35,2364,4168
Batavia Queen ,2.87,1136,3507
SS Happy Wanderer ,3.39,1659,3571
USS Poseidon ,3.69,1897,2903
HMS Venus ,3.92,1542,3461
SS Essess  ,4.12,2382,3439
Love Nest ,4.46,1576,4045
USS Oakland ,4.81,2222,3834
Dulcibella ,4.98,1415,3294
USS Intrepid ,5.15,1947,3375
HMS Interceptor ,5.56,2055,3895
Brandenburg ,5.71,1227,3200
USS Bedford ,5.83,1337,2820
Academic Vladislav Volkov ,6.67,2229,3295
Jenny ,6.76,2351,3938
SS Minnow Johnson  ,6.82,1413,3416
SS Antonia Graza ,7.0,1367,3398
Immer Essen ,7.24,1898,3463
Morning Star ,7.46,1568,3521
Yellow Submarine ,7.61,1157,3419
USS Thunderfish ,7.88,2291,3700
SSN Ulysses ,8.1,1551,3298
The Flying Wasp ,8.3,2242,2839
Empress ,8.5,2439,4018
HMS Sea Tiger ,8.66,2256,3687
Love Nest ,8.72,1103,3448
SS Happy Wanderer ,9.05,2961,3136
Immer Essen ,9.22,1686,3573
Q Boat ,9.38,2074,3188
SS Britannic ,9.51,1364,3438
USS Oakland ,9.6,2422,4177
USS Oakland ,9.77,1740,4010
SS Essess  ,10.11,1033,3640
Angelina  ,10.31,1402,3853
Albatross ,10.56,2884,3696
HMS Interceptor ,10.71,2480,3394
HMS Sutherland ,10.95,2834,3404
SS Claridon ,11.2,1895,3128
Edinburgh Trader ,11.54,1858,3845
USS Intrepid ,11.92,1808,3047
USS Pequod  ,12.11,1298,3186
