Name,Arrival Time,TEU,Waiting Cost
HMS Victoria ,0.19,1465,3600
The Inferno ,0.36,1114,3600
USS Starfish ,0.55,1319,3600
Angelina  ,0.63,2143,3600
Ulysses ,0.87,2443,3600
USS Tigerfish ,1.1,2853,3600
Flying Dutchman ,1.48,2988,3600
Red Dragon  ,1.88,3000,3600
Patna ,2.27,2081,3600
Edinburgh Trader ,2.39,2005,3600
Argo ,2.54,1489,3600
HMS Torrin ,2.62,2040,3600
The Henrietta  ,2.79,1823,3600
Acheron ,2.87,2883,3600
Argonautica ,3.35,1463,3600
Glencairn ,3.46,2472,3600
USS Stingray  ,3.72,2028,3600
Love Nest ,3.89,2421,3600
Jenny ,3.97,1899,3600
USS Reluctant ,4.13,1143,3600
The Inferno ,4.34,1287,3600
SS Goliath ,4.77,1584,3600
Nathan Ross ,5.22,1205,3600
Argonautica ,5.33,2085,3600
USS Poseidon ,5.58,1098,3600
USS Sea Tiger ,5.87,2459,3600
Q Boat ,6.03,2992,3600
Arabella ,6.16,2724,3600
Saracen ,6.55,1434,3600
Stealth Ship ,6.85,1298,3600
Angelina  ,6.93,2578,3600
HMS Avenger ,7.03,1505,3600
Wonkatania ,7.27,1461,3600
USS Scotia  ,7.38,2302,3600
HMS Sutherland ,7.47,1623,3600
Liparus ,7.65,2003,3600
USS Poseidon ,7.77,1391,3600
SSN Ulysses ,7.9,2829,3600
USS Stingray  ,8.13,1300,3600
HMS Nereid  ,8.36,2899,3600
Ghost ,8.48,1735,3600
Belafonte ,8.57,1588,3600
Belafonte ,8.77,2791,3600
Geronimo ,8.93,1682,3600
Edinburgh Trader ,9.16,1609,3600
Nautilus ,9.23,1035,3600
HMS Saltash Castle ,9.33,2475,3600
Aeolus ,9.56,1993,3600
Hahnchen Maru ,9.9,2366,3600
SSNR Seaview ,10.01,1115,3600
