Name,Arrival Time,TEU,Waiting Cost
Stealth Ship ,0.3,2553,3695
HMS Lydia ,0.61,2494,3198
Dulcibella ,0.88,1509,3432
SS Chiku Shan ,1.07,2087,3386
Deep Quest  ,1.18,2443,3531
USS Belinda ,1.36,2584,3292
USS Sea Tiger ,1.43,1350,3425
Love Nest ,1.96,2250,3517
Hai Peng ,2.13,2250,3455
Reaper  ,2.27,2360,3313
USS Tigerfish ,2.46,1515,3195
HMS Venus ,2.7,2443,3745
USS Belinda ,3.03,2129,4007
Red Witch ,3.1,2697,3774
Angelina  ,3.41,2780,4001
African Queen ,3.57,1176,3217
HMS Saltash Castle ,3.78,2625,3498
USS San Pablo ,3.91,2091,3865
Black Hawk ,4.08,2953,3349
HMS Venus ,4.5,2654,3474
Flying Dutchman ,4.71,1226,4027
Batavia Queen ,5.04,2775,3539
HMS Sutherland ,5.13,2047,3603
HMS Interceptor ,5.24,1071,4079
USS Belinda ,5.64,1415,3812
USS Tigerfish ,5.75,2016,4363
MS Ergenstrasse ,6.26,1610,3637
USS Lansing ,6.52,1062,3879
Elizabeth Dane ,6.68,1352,3967
SSN Ulysses ,6.86,2883,3371
Gloria N ,7.18,1982,3784
USS Poseidon ,7.36,2461,3879
HMS Sea Tiger ,7.59,1896,3752
Hahnchen Maru ,7.8,1606,3950
HMS Saltash Castle ,7.85,2455,4164
Deep Quest  ,8.08,2632,3291
USS Poseidon ,8.28,1051,3531
USS Scotia  ,8.59,2157,3237
Dulcibella ,8.83,1149,4109
HMS Devonshire ,9.37,1202,3491
Ning-Po  ,9.46,1100,4069
Acheron ,9.84,2442,3560
Jenny  ,10.5,1608,3730
USS Starfish ,10.64,2610,3666
USS Valhalla ,10.76,2307,3461
Black Pearl ,11.04,2764,4044
Nathan Ross ,11.3,2781,4152
Argonautica ,11.52,2342,3791
Jenny  ,11.62,1162,3499
Argo ,12.02,2033,3483
