Name,Arrival Time,TEU,Waiting Cost
Red October ,0.33,1827,4721
HMS Viperess ,0.81,2239,3939
USS Caine ,0.91,1298,5274
HMS Endeavour ,0.99,1388,4529
USS Sawfish ,1.29,2943,4291
Dulcibella ,1.36,1834,3314
USS Bedford ,1.6,2223,4037
SS Essess  ,1.81,1301,4186
Proteus  ,2.07,1175,3912
SS Essess  ,2.37,2029,3244
Stealth Ship ,2.73,2383,3733
SS Minnow Johnson  ,2.98,1229,5259
HMS Lydia ,3.13,1116,2037
USS Poseidon ,3.23,1437,1864
USS Montana ,3.4,2970,2721
USS Scotia  ,3.59,2302,1959
Jenny ,3.83,2547,3230
SS Happy Wanderer ,4.11,2131,3850
Immer Essen ,4.22,2089,2828
The Wanderer  ,4.49,2720,4679
African Queen ,4.6,2399,4821
Nathan Ross ,4.9,1321,3311
Elizabeth Dane ,5.14,2094,4866
Acheron ,5.58,1835,4286
Black Hawk ,5.78,2662,2396
Immer Essen ,6.05,2647,3090
Proteus  ,6.24,1773,3567
Red Witch ,6.47,2775,4113
HMS Endeavour ,6.59,2736,3894
Caledonia II  ,7.32,2277,2569
USS Oakland ,7.62,1984,1921
Argonautica ,8.03,1595,3347
Disco Volante ,8.85,2080,3829
USS Charleston  ,9.05,2607,4123
Edinburgh Trader ,9.58,2858,4515
SS Britannic ,9.65,2996,2570
USS Oakland ,9.93,1901,5019
USS Tiger Shark ,10.24,1363,5026
SS Princess Irene,10.6,1936,2612
Morning Star ,10.96,2698,3264
SS Essess  ,11.11,2868,3488
USS Caine ,11.17,2901,3097
SS Venture ,11.3,1431,3022
Acheron ,11.52,1420,4535
Amindra ,11.96,2435,4078
IJN Shinaru ,12.51,1395,4506
Jenny  ,13.16,2422,5138
USS Reluctant ,13.23,2791,4117
Patna ,13.41,1216,3695
Rob Roy ,13.47,2325,3542
