Name,Arrival Time,TEU,Waiting Cost
Academic Vladislav Volkov ,0.22,2888,3848
SSN Ulysses ,0.44,2389,3647
SS Sea Witch ,0.72,1380,3539
Aquanaut 3  ,1.09,2222,3430
USS Poseidon ,1.26,2239,3781
USS Starfish ,1.6,2876,3564
The Wanderer  ,1.63,2584,3119
HMS Lydia ,2.14,2559,3389
USS Intrepid ,2.29,1023,3634
USS Davies ,2.47,1616,3042
Yellow Submarine ,2.67,1062,3246
Wonkatania ,3.17,2718,3098
USS Stingray  ,3.23,2546,3293
Black Hawk ,3.37,2528,3249
SS Essess  ,3.54,1763,3933
USS Montana ,4.01,2419,3405
USS Reluctant ,4.14,2016,3500
SSN Ulysses ,4.66,1974,3104
HMS Torrin ,4.83,2758,3969
SS Chiku Shan ,5.13,1086,3701
SS Chiku Shan ,5.11,1718,3030
The Flying Wasp ,5.52,1054,3668
SS Happy Wanderer ,5.8,2839,3558
Albatross ,6.16,2966,3814
SSN Ulysses ,6.4,2812,3192
HMS Interceptor ,6.21,1926,3952
Deep Quest  ,7.08,2407,3653
HMS Saltash Castle ,7.14,1351,3188
Immer Essen ,7.3,2412,3660
Nathan Ross ,7.53,1992,3287
Arabella ,7.44,2514,3679
USS Intrepid ,7.98,2092,3983
USS Pequod  ,8.04,1101,3172
SS Essess  ,8.37,1235,3702
Rights-of-Man ,8.84,1538,3432
HMS Viperess ,9.09,2956,3249
SS Chiku Shan ,8.92,2263,3110
USS Tiger Shark ,9.53,2494,3951
Red October ,9.78,2531,3971
USS San Pablo ,10.32,2359,3010
Nautilus ,10.48,2781,3743
Nathan Ross ,10.22,2964,3982
USS Intrepid ,10.56,2017,3909
Starfish  ,11.23,2650,3039
Disco Volante ,11.33,1248,3613
Nautilus ,11.57,2612,3455
SSNR Seaview ,11.47,2652,3011
HMS Shag at Sea  ,12.01,2440,3312
SS Claridon ,12.23,2669,3158
Nathan Ross ,12.43,1807,3405
