Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,U,V 0,V 1,X 0,X 1
0,0,0.18,2583,3428,0.38,1148,3835,0.58,2151,3297,0.66,2451,3425,0,0,0,0,4,3,0.0,0.0
4,3,0.38,1148,3835,0.58,2151,3297,0.66,2451,3425,0.99,1223,3885,0,0,0,0,1,6,1.525,0.0
1,6,0.58,2151,3297,0.66,2451,3425,0.99,1223,3885,1.39,1388,3600,0,0,0,0,1,6,5.56,0.7783333333333333
1,6,0.66,2451,3425,0.99,1223,3885,1.39,1388,3600,1.63,1137,3469,0,0,0,1,1,6,5.56,1.525
1,6,0.66,2451,3425,1.39,1388,3600,1.63,1137,3469,2.13,2411,3619,0,0,0,2,1,6,5.5600000000000005,1.95
1,6,0.66,2451,3425,1.39,1388,3600,2.13,2411,3619,2.25,2328,3381,0,0,0,1,1,6,5.5600000000000005,2.3449999999999998
1,6,0.66,2451,3425,2.13,2411,3619,2.25,2328,3381,2.44,2988,3476,0,0,0,1,1,6,5.5600000000000005,2.826666666666666
1,6,0.66,2451,3425,2.25,2328,3381,2.44,2988,3476,2.51,1496,3857,0,0,0,3,2,5,5.5600000000000005,3.6633333333333327
2,5,0.66,2451,3425,2.25,2328,3381,2.44,2988,3476,2.69,1805,2903,0,0,0,1,5,2,4.193333333333333,4.287333333333333
5,2,0.66,2451,3425,2.44,2988,3476,2.69,1805,2903,2.93,2077,4057,0,0,0,3,5,2,5.163333333333333,5.223333333333333
5,2,0.66,2451,3425,2.44,2988,3476,2.69,1805,2903,3.36,2099,3317,0,0,0,2,1,6,6.029333333333333,5.223333333333333
1,6,0.66,2451,3425,2.44,2988,3476,3.36,2099,3317,3.53,1232,3356,0,0,0,3,1,6,9.493333333333332,5.85
1,6,0.66,2451,3425,2.44,2988,3476,3.36,2099,3317,3.73,1826,3313,0,0,0,3,1,6,9.493333333333332,6.278333333333333
1,6,0.66,2451,3425,2.44,2988,3476,3.36,2099,3317,3.88,1091,3788,0,0,0,3,1,6,9.493333333333332,6.911666666666667
1,6,0.66,2451,3425,2.44,2988,3476,3.36,2099,3317,4.65,2952,3966,0,0,0,2,2,5,9.493333333333332,7.29
2,5,0.66,2451,3425,2.44,2988,3476,4.65,2952,3966,4.86,1326,3243,0,0,0,3,2,5,8.2025,8.164
2,5,0.66,2451,3425,2.44,2988,3476,4.65,2952,3966,5.19,1269,3503,0,0,0,3,6,1,8.2025,8.716
6,1,0.66,2451,3425,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,0,0,0,0,5,2,8.6425,10.924
5,2,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,5.61,1954,3613,0,0,0,3,2,5,9.6645,9.56325
2,5,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,5.76,1458,3989,0,0,0,3,2,5,11.1975,10.37725
2,5,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,6.39,2318,3871,0,0,0,3,2,5,11.1975,10.98525
2,5,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,6.54,2018,4071,0,0,0,3,6,1,11.1975,11.95125
6,1,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,6.85,2365,3798,0,0,0,3,6,1,11.897499999999999,15.81525
6,1,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,7.06,1228,3453,0,0,0,3,6,1,12.719166666666666,15.81525
6,1,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,7.39,1510,3520,0,0,0,3,6,1,13.145833333333332,15.81525
6,1,2.44,2988,3476,4.65,2952,3966,5.36,2176,3190,7.62,2693,3511,0,0,0,1,5,2,13.670833333333333,15.81525
5,2,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,7.77,2383,3554,0,0,0,3,2,5,14.900833333333333,14.480541666666667
2,5,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,7.94,2049,3996,0,0,0,3,1,6,16.745833333333334,15.472541666666668
1,6,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.06,1738,3487,0,0,0,3,1,6,19.011125,16.184208333333334
1,6,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.27,1154,3627,0,0,0,3,1,6,19.011125,16.787541666666666
1,6,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.45,1719,3668,0,0,0,3,2,5,19.011125,17.187541666666664
2,5,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.57,1563,3770,0,0,0,3,5,2,17.89933333333333,17.903541666666666
5,2,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.79,1330,3619,0,0,0,3,5,2,18.551333333333332,18.977541666666664
5,2,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,8.99,1272,3632,0,0,0,3,2,5,19.10533333333333,18.977541666666664
2,5,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,9.34,1061,3810,0,0,0,3,2,5,19.936333333333334,19.507541666666665
2,5,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,9.57,1670,3439,0,0,0,3,5,2,19.936333333333334,19.949541666666665
5,2,2.44,2988,3476,5.36,2176,3190,7.62,2693,3511,9.8,2575,3410,0,0,0,1,2,5,20.632333333333335,20.612541666666665
2,5,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,9.95,2026,3646,0,0,0,3,2,5,21.676333333333332,21.518541666666664
2,5,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,10.11,2181,3769,0,0,0,3,6,1,21.676333333333332,22.362541666666665
6,1,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,10.36,1188,3863,0,0,0,3,6,1,22.433,25.738541666666663
6,1,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,10.52,1377,3560,0,0,0,3,6,1,22.846333333333334,25.738541666666663
6,1,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,10.95,1588,3834,0,0,0,3,6,1,23.324666666666666,25.738541666666663
6,1,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,11.14,2100,3655,0,0,0,3,5,2,23.87633333333333,25.738541666666663
5,2,2.44,2988,3476,7.62,2693,3511,9.8,2575,3410,11.22,2333,2979,0,0,0,2,2,5,24.752333333333333,24.531604166666664
